algorithm,seed,final_best_fitness,final_best_cov,final_best_time,final_best_size,final_best_feasible,selected_tests,included_elements
A_pure_random_sampling,1,0.932096,20,14.4000,7,1,"t2 t5 t7 t16 t19 t21 t26","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
A_pure_random_sampling,2,0.925281,20,15.8000,8,1,"t5 t7 t8 t11 t13 t14 t24 t30","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
A_pure_random_sampling,3,0.930340,20,14.8000,7,1,"t3 t5 t6 t8 t12 t22 t23","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
A_pure_random_sampling,4,0.927493,20,15.6000,6,1,"t1 t6 t8 t12 t16 t22","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
A_pure_random_sampling,5,0.920890,20,16.8000,8,1,"t1 t5 t11 t12 t14 t16 t23 t29","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
A_pure_random_sampling,6,0.920678,20,17.0000,7,1,"t1 t2 t3 t4 t9 t26 t28","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
A_pure_random_sampling,7,0.924631,20,16.1000,7,1,"t3 t4 t5 t7 t8 t14 t24","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
A_pure_random_sampling,8,0.929006,20,14.8000,9,1,"t5 t8 t9 t12 t14 t17 t19 t21 t23","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
A_pure_random_sampling,9,0.921313,20,16.4000,10,1,"t2 t3 t5 t8 t11 t14 t21 t23 t24 t26","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
A_pure_random_sampling,10,0.932763,20,14.4000,6,1,"t1 t11 t12 t16 t26 t29","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
A_pure_random_sampling,11,0.924176,20,15.9000,9,1,"t2 t3 t5 t7 t8 t11 t12 t17 t26","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
A_pure_random_sampling,12,0.930990,20,14.5000,8,1,"t2 t3 t5 t6 t14 t22 t23 t26","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
A_pure_random_sampling,13,0.929022,20,15.1000,7,1,"t3 t5 t6 t7 t18 t23 t26","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
A_pure_random_sampling,14,0.924826,20,15.6000,10,1,"t2 t5 t6 t12 t14 t17 t19 t21 t23 t26","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
A_pure_random_sampling,15,0.932096,20,14.4000,7,1,"t2 t5 t7 t16 t19 t21 t26","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
A_pure_random_sampling,16,0.922647,20,16.4000,8,1,"t5 t7 t11 t12 t14 t23 t28 t29","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
A_pure_random_sampling,17,0.939562,20,12.7000,7,1,"t2 t5 t7 t8 t19 t21 t26","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
A_pure_random_sampling,18,0.920223,20,16.8000,9,1,"t1 t2 t3 t5 t9 t11 t12 t17 t26","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
A_pure_random_sampling,19,0.940001,20,12.6000,7,1,"t2 t3 t5 t7 t11 t17 t26","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
A_pure_random_sampling,20,0.926599,20,15.5000,8,1,"t2 t5 t6 t7 t17 t18 t23 t30","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
A_pure_random_sampling,21,0.926371,20,15.4000,9,1,"t1 t2 t3 t5 t8 t11 t12 t17 t26","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
A_pure_random_sampling,22,0.935609,20,13.6000,7,1,"t5 t6 t7 t8 t9 t12 t26","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
A_pure_random_sampling,23,0.925281,20,15.8000,8,1,"t1 t2 t5 t6 t8 t13 t17 t19","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
A_pure_random_sampling,24,0.928795,20,15.0000,8,1,"t2 t6 t8 t9 t21 t23 t28 t30","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
A_pure_random_sampling,25,0.933186,20,14.0000,8,1,"t5 t6 t8 t12 t13 t17 t23 t30","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
A_pure_random_sampling,26,0.930990,20,14.5000,8,1,"t2 t3 t5 t14 t15 t17 t19 t26","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
A_pure_random_sampling,27,0.925721,20,15.7000,8,1,"t1 t2 t3 t9 t11 t14 t17 t28","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
A_pure_random_sampling,28,0.929022,20,15.1000,7,1,"t2 t3 t5 t6 t7 t8 t24","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
A_pure_random_sampling,29,0.926826,20,15.6000,7,1,"t2 t5 t6 t7 t8 t12 t22","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
A_pure_random_sampling,30,0.934943,20,13.6000,8,1,"t2 t5 t9 t11 t12 t14 t21 t23","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,1,0.951207,20,10.2000,6,1,"t2 t3 t5 t6 t17 t23","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,2,0.931657,20,14.5000,7,1,"t9 t11 t12 t14 t21 t23 t25","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,3,0.946376,20,11.3000,6,1,"t1 t2 t3 t5 t11 t17","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,4,0.947694,20,11.0000,6,1,"t2 t5 t6 t7 t8 t30","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,5,0.941985,20,12.3000,6,1,"t2 t4 t5 t7 t14 t30","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,6,0.947694,20,11.0000,6,1,"t2 t5 t6 t7 t8 t30","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,7,0.947027,20,11.0000,7,1,"t2 t5 t11 t12 t14 t21 t23","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,8,0.947027,20,11.0000,7,1,"t2 t5 t11 t12 t14 t21 t23","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,9,0.923752,20,16.3000,7,1,"t6 t7 t9 t12 t14 t23 t25","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,10,0.940228,20,12.7000,6,1,"t4 t5 t7 t8 t12 t14","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,11,0.935609,20,13.6000,7,1,"t5 t11 t12 t14 t16 t23 t29","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,12,0.929022,20,15.1000,7,1,"t1 t2 t11 t14 t16 t29 t30","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,13,0.933853,20,14.0000,7,1,"t5 t7 t8 t11 t12 t14 t29","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,14,0.943075,20,11.9000,7,1,"t2 t5 t6 t12 t17 t21 t23","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,15,0.940440,20,12.5000,7,1,"t1 t2 t5 t8 t17 t19 t21","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,16,0.947694,20,11.0000,6,1,"t2 t5 t6 t7 t8 t30","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,17,0.940228,20,12.7000,6,1,"t4 t5 t7 t8 t12 t14","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,18,0.932747,20,14.1000,8,1,"t4 t5 t8 t12 t14 t17 t21 t23","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,19,0.940652,20,12.3000,8,1,"t2 t5 t11 t14 t21 t23 t28 t30","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,20,0.947027,20,11.0000,7,1,"t2 t5 t11 t12 t14 t21 t23","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,21,0.946376,20,11.3000,6,1,"t1 t2 t3 t5 t11 t17","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,22,0.946376,20,11.3000,6,1,"t1 t2 t3 t5 t11 t17","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,23,0.949662,20,10.4000,7,1,"t2 t3 t5 t11 t14 t17 t23","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,24,0.941985,20,12.3000,6,1,"t2 t4 t5 t7 t14 t30","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,25,0.943075,20,11.9000,7,1,"t2 t5 t6 t12 t17 t21 t23","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,26,0.949662,20,10.4000,7,1,"t2 t3 t5 t11 t14 t17 t23","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,27,0.940652,20,12.3000,8,1,"t2 t5 t11 t14 t21 t23 t28 t30","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,28,0.940652,20,12.3000,8,1,"t2 t5 t11 t14 t21 t23 t28 t30","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,29,0.932096,20,14.4000,7,1,"t5 t6 t8 t12 t21 t22 t23","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,30,0.941985,20,12.3000,6,1,"t2 t4 t5 t7 t14 t30","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
